エドモントンの首都はどの国または州ですか？答えは： アルバータ州
ライナー・マリア・リルケの母国語は何ですか？答えは： ドイツ語
レフ・ランダウの母国語は何ですか？答えは： ロシア語
アレックス・ファーガソンの母国語は何ですか？答えは： 英語
エドワード・ブルワー＝リットンの母国語は何ですか？答えは： 英語
ジョゼフ・ボナパルトの母国語は何ですか？答えは： フランス語
ボリス・ヴィアンの母国語は何ですか？答えは： フランス語
ジャン＝マリー・ル・ペンの母国語は何ですか？答えは： フランス語
ノバク・ジョコビッチの母国語は何ですか？答えは： セルビア語
イリーナ・シェイクの母国語は何ですか？答えは： ロシア語
ジョン・ドルトンの母国語は何ですか？答えは： 英語
セオドア・ルーズベルトの母国語は何ですか？答えは： 英語
ジュリー・デルピーの母国語は何ですか？答えは： フランス語
マニュエル・ヴァルスの母国語は何ですか？答えは： スペイン語
ジョルジュ・サンドの母国語は何ですか？答えは： フランス語
ファニー・アルダンの母国語は何ですか？答えは： フランス語
レフ・トルストイの母国語は何ですか？答えは： ロシア語
アル・ゴアの母国語は何ですか？答えは： 英語
エドガー・ダイクストラの母国語は何ですか？答えは： オランダ語
ピエール・ブルデューの母国語は何ですか？答えは： フランス語
ウィトルウィウスの母国語は何ですか？答えは： ラテン語
ジョニー・アリディの母国語は何ですか？答えは： フランス語
シャキーラの母国語は何ですか？答えは： スペイン語
ヨシフ・ブロツキーの母国語は何ですか？答えは： ロシア語
アルベルト・ジャコメッティの母国語は何ですか？答えは： イタリア語
マリ・キュリーの母国語は何ですか？答えは： ポーランド語
マルグリット・ユルスナールの母国語は何ですか？答えは： フランス語
ハンス・クリスチャン・アンデルセンの母国語は何ですか？答えは： デンマーク語
スウェーデン人の母国語は何ですか？答えは： スウェーデン語
クリスチャン・クラヴィエの母国語は何ですか？答えは： フランス語
アンドリュー・ジャクソンの母国語は何ですか？答えは： 英語
ジョルジュ・ポンピドゥーの母国語は何ですか？答えは： フランス語
ジャン＝バティスト・セイの母国語は何ですか？答えは： フランス語
ガッド・エルマレの母国語は何ですか？答えは： フランス語
ルイ・アラゴンの母国語は何ですか？答えは： フランス語
ナデジダ・クルプスカヤの母国語は何ですか？答えは： ロシア語
クロード・シモンの母国語は何ですか？答えは： フランス語
フェリックス・ジェルジンスキーの母国語は何ですか？答えは： ロシア語
ポール・ドゥメールの母国語は何ですか？答えは： フランス語
ベアトリクスの母国語は何ですか？答えは： オランダ語
ウラジーミル・マヤコフスキーの母国語は何ですか？答えは： ロシア語
リュック・ベッソンの母国語は何ですか？答えは： フランス語
マリオ・バルガス・リョサの母国語は何ですか？答えは： スペイン語
ジョン・クィンシー・アダムズの母国語は何ですか？答えは： 英語
バートランド・ラッセルの母国語は何ですか？答えは： 英語
黒澤明の母国語は何ですか？答えは： 日本語
シュリ・プリュドムの母国語は何ですか？答えは： フランス語
フランツ・ファノンの母国語は何ですか？答えは： フランス語
ヴァージニア・ウルフの母国語は何ですか？答えは： 英語
カトリーヌ・ドヌーヴの母国語は何ですか？答えは： フランス語
ジョン・スチュアート・ミルの母国語は何ですか？答えは： 英語
ローラン・ファビウスの母国語は何ですか？答えは： フランス語
パブロ・ピカソの母国語は何ですか？答えは： スペイン語
アルフォンス・ドーデの母国語は何ですか？答えは： フランス語
アレクサンドル・デュマ・フィスの母国語は何ですか？答えは： フランス語
ブライアン・メイの母国語は何ですか？答えは： 英語
ジョルジュ＝ルイ・ルクレール・ド・ビュフォンの母国語は何ですか？答えは： フランス語
ラファエル・アルベルティの母国語は何ですか？答えは： スペイン語
ニコライ・ネクラーソフの母国語は何ですか？答えは： ロシア語
ザカリー・テイラーの母国語は何ですか？答えは： 英語
アダム・サンドラーの母国語は何ですか？答えは： 英語
ヴェラ・リンの母国語は何ですか？答えは： 英語
ジェームズ・ガーフィールドの母国語は何ですか？答えは： 英語
ジャン・アヌイの母国語は何ですか？答えは： フランス語
ブリジット・バルドーの母国語は何ですか？答えは： フランス語
ヤコブス・ヘンリクス・ファント・ホッフの母国語は何ですか？答えは： オランダ語
レスリー・キャロンの母国語は何ですか？答えは： フランス語
ヤン・ペーター・バルケネンデの母国語は何ですか？答えは： オランダ語
ジョヴァンニ・ボッカッチョの母国語は何ですか？答えは： イタリア語
セルゲイ・ラブロフの母国語は何ですか？答えは： ロシア語
ピョートル・クロポトキンの母国語は何ですか？答えは： ロシア語
ジャン・ド・ラ・フォンテーヌの母国語は何ですか？答えは： フランス語
パトリス・ルコントの母国語は何ですか？答えは： フランス語
ドミートリー・メドヴェージェフの母国語は何ですか？答えは： ロシア語
ヘンドリック・ローレンツの母国語は何ですか？答えは： オランダ語
ミハイル・ホドルコフスキーの母国語は何ですか？答えは： ロシア語
オウィディウスの母国語は何ですか？答えは： ラテン語
ウラジーミル・プーチンの母国語は何ですか？答えは： ロシア語
ギュスターヴ・フローベールの母国語は何ですか？答えは： フランス語
ジャン＝ポール・ベルモンドの母国語は何ですか？答えは： フランス語
マルク・シャガールの母国語は何ですか？答えは： ロシア語
クロード・ベルナールの母国語は何ですか？答えは： フランス語
ヴィルジニー・ルドワイヤンの母国語は何ですか？答えは： フランス語
ダグラス・アダムズの母国語は何ですか？答えは： 英語
エフード・オルメルトの母国語は何ですか？答えは： ヘブライ語
シャルル・ペローの母国語は何ですか？答えは： フランス語
マルセル・マルソーの母国語は何ですか？答えは： フランス語
ウェルギリウスの母国語は何ですか？答えは： ラテン語
ジャンヌ・モローの母国語は何ですか？答えは： フランス語
ジャン・デュジャルダンの母国語は何ですか？答えは： フランス語
エマニュエル・マクロンの母国語は何ですか？答えは： フランス語
アブドゥル・カラームの母国語は何ですか？答えは： タミル語
バラク・オバマの母国語は何ですか？答えは： 英語
ベースハンターの母国語は何ですか？答えは： スウェーデン語
ウィリアム・バトラー・イェイツの母国語は何ですか？答えは： 英語
アーサー・コナン・ドイルの母国語は何ですか？答えは： 英語
カルロス2世が生まれた都市はどこですか？答えは： マドリード
デビッド・クルサードが生まれた都市はどこですか？答えは： スコットランド
クリスティーナ・ロセッティが生まれた都市はどこですか？答えは： ロンドン
ケニー・ロジャースが生まれた都市はどこですか？答えは： ヒューストン
フサイン・イブン・アリーが生まれた都市はどこですか？答えは： マディーナ
ウィリアム・トムソンが生まれた都市はどこですか？答えは： ベルファスト
アルフレッド・アドラーが生まれた都市はどこですか？答えは： ウィーン
チュス・ランプレアベが生まれた都市はどこですか？答えは： マドリード
セルゲイ・ラブロフが生まれた都市はどこですか？答えは： モスクワ
コンラート・ローレンツが生まれた都市はどこですか？答えは： ウィーン
ルー・リードが生まれた都市はどこですか？答えは： ブルックリン区
レオーン5世が生まれた都市はどこですか？答えは： アルメニア
マルコ・デルヴェッキオが生まれた都市はどこですか？答えは： ミラノ
カール・オルフが生まれた都市はどこですか？答えは： ミュンヘン
ガイウス・プリニウス・セクンドゥスが生まれた都市はどこですか？答えは： コモ
フリードリヒ・ヴィルヘルム2世が生まれた都市はどこですか？答えは： ベルリン
ボニファティウス3世が生まれた都市はどこですか？答えは： ローマ
クラウディオ・アバドが生まれた都市はどこですか？答えは： ミラノ
エンリコ・カルーソーが生まれた都市はどこですか？答えは： ナポリ
メフメト6世が生まれた都市はどこですか？答えは： イスタンブール
デニス・ファリーナが生まれた都市はどこですか？答えは： シカゴ
マーク・ストロングが生まれた都市はどこですか？答えは： ロンドン
エドワード1世が生まれた都市はどこですか？答えは： ウェストミンスター
ザ・ウィークエンドが生まれた都市はどこですか？答えは： トロント
ラリー・キングが生まれた都市はどこですか？答えは： ブルックリン区
アーサー・ハーデンが生まれた都市はどこですか？答えは： マンチェスター
マルキ・ド・サドが生まれた都市はどこですか？答えは： パリ
章子怡が生まれた都市はどこですか？答えは： 北京市
コンラート・アデナウアーが生まれた都市はどこですか？答えは： ケルン
フェルディナン・ド・ソシュールが生まれた都市はどこですか？答えは： ジュネーヴ
ヴァシーリー3世が生まれた都市はどこですか？答えは： モスクワ
ジョルジュ・デュアメルが生まれた都市はどこですか？答えは： パリ
アーイシャが生まれた都市はどこですか？答えは： メッカ
ペータル1世が生まれた都市はどこですか？答えは： ベオグラード
ビング・クロスビーが生まれた都市はどこですか？答えは： タコマ
ミケランジェロ・ブオナローティ はどこで死んだのですか？ 回答は: ローマ
ココ・シャネル はどこで死んだのですか？ 回答は: パリ
クレメンス14世 はどこで死んだのですか？ 回答は: ローマ
ウマル・イブン・ハッターブ はどこで死んだのですか？ 回答は: マディーナ
クレメンス3世 はどこで死んだのですか？ 回答は: ローマ
デキムス・カエリウス・カルウィヌス・バルビヌス はどこで死んだのですか？ 回答は: ローマ
フラント・ディンク はどこで死んだのですか？ 回答は: イスタンブール
ニケフォロス3世ボタネイアテス はどこで死んだのですか？ 回答は: コンスタンティノープル
ヨハン・パッヘルベル はどこで死んだのですか？ 回答は: ニュルンベルク
ヴァーツラフ・ニジンスキー はどこで死んだのですか？ 回答は: ロンドン
レオ10世 はどこで死んだのですか？ 回答は: ローマ
ドナテッロ はどこで死んだのですか？ 回答は: フィレンツェ
蒋経国 はどこで死んだのですか？ 回答は: 台北市
ロバート・フック はどこで死んだのですか？ 回答は: ロンドン
ローザ・パークス はどこで死んだのですか？ 回答は: デトロイト
ヨハネス8世パレオロゴス はどこで死んだのですか？ 回答は: コンスタンティノープル
ジョン・ディー はどこで死んだのですか？ 回答は: サリー
フェルナンデル はどこで死んだのですか？ 回答は: パリ
ミカエル2世 はどこで死んだのですか？ 回答は: コンスタンティノープル
カール・リープクネヒト はどこで死んだのですか？ 回答は: ベルリン
リヒャルト・ワーグナー はどこで死んだのですか？ 回答は: ヴェネツィア
アンティステネス はどこで死んだのですか？ 回答は: アテネ
マックス・エルンスト はどこで死んだのですか？ 回答は: パリ
マルティン・ブーバー はどこで死んだのですか？ 回答は: エルサレム
ヨーゼフ・ゲッベルス はどこで死んだのですか？ 回答は: ベルリン
シャルル・ド・モンテスキュー はどこで死んだのですか？ 回答は: パリ
ニコラウス5世 はどこで死んだのですか？ 回答は: ローマ
シャルロット・コルデー はどこで死んだのですか？ 回答は: パリ
ザーヒル・シャー はどこで死んだのですか？ 回答は: カーブル
インノケンティウス11世 はどこで死んだのですか？ 回答は: ローマ
ゴルディアヌス2世 はどこで死んだのですか？ 回答は: カルタゴ
ムスティスラフ・ロストロポーヴィチ はどこで死んだのですか？ 回答は: モスクワ
ピウス3世 はどこで死んだのですか？ 回答は: ローマ
アブドルカリーム・カーシム はどこで死んだのですか？ 回答は: バグダード
グレゴリウス16世 はどこで死んだのですか？ 回答は: ローマ
アラム・ハチャトゥリアン はどこで死んだのですか？ 回答は: モスクワ
ハインリヒ・フォン・クライスト はどこで死んだのですか？ 回答は: ベルリン
アブデュルハミト1世 はどこで死んだのですか？ 回答は: コンスタンティノープル
アレクサンデル8世 はどこで死んだのですか？ 回答は: ローマ
ヨハン・クリスティアン・バッハ はどこで死んだのですか？ 回答は: ロンドン
サミュエル・ジョンソン はどこで死んだのですか？ 回答は: ロンドン
ジャック＝イヴ・クストー はどこで死んだのですか？ 回答は: パリ
ソフィア・コワレフスカヤ はどこで死んだのですか？ 回答は: ストックホルム
ゲオルク・ヴィルヘルム・フリードリヒ・ヘーゲル はどこで死んだのですか？ 回答は: ベルリン
サンドロ・ボッティチェッリ はどこで死んだのですか？ 回答は: フィレンツェ
サミュエル・テイラー・コールリッジ はどこで死んだのですか？ 回答は: ロンドン
イブン・ハルドゥーン はどこで死んだのですか？ 回答は: カイロ
ヘンリー4世 はどこで死んだのですか？ 回答は: ロンドン
トマゾ・アルビノーニ はどこで死んだのですか？ 回答は: ヴェネツィア
パーヴォ・ヌルミ はどこで死んだのですか？ 回答は: ヘルシンキ
クレメンス1世 はどこで死んだのですか？ 回答は: ローマ
ルイ17世 はどこで死んだのですか？ 回答は: パリ
黒川紀章 はどこで死んだのですか？ 回答は: 東京都
マクシミリアン・ロベスピエール はどこで死んだのですか？ 回答は: パリ
ジョルジョーネ はどこで死んだのですか？ 回答は: ヴェネツィア
ペータル1世 はどこで死んだのですか？ 回答は: ベオグラード
ルドヴィコ・ザメンホフ はどこで死んだのですか？ 回答は: ワルシャワ
イブラーヒーム・パシャ はどこで死んだのですか？ 回答は: カイロ
クレメンス12世 はどこで死んだのですか？ 回答は: ローマ
エイレナイオス はどこで死んだのですか？ 回答は: リヨン
ジャック・デリダ はどこで死んだのですか？ 回答は: パリ
カルロス4世 はどこで死んだのですか？ 回答は: ローマ
レイフ・ヴォーン・ウィリアムズ はどこで死んだのですか？ 回答は: ロンドン
アンドレイ・グロムイコ はどこで死んだのですか？ 回答は: モスクワ
ウルリカ・エレオノーラ はどこで死んだのですか？ 回答は: ストックホルム
オーティス・レディング はどこで死んだのですか？ 回答は: マディソン
アンリ・ルソー はどこで死んだのですか？ 回答は: パリ
ムアーウィヤ はどこで死んだのですか？ 回答は: ダマスカス
ルイ・アラゴン はどこで死んだのですか？ 回答は: パリ
バイバルス はどこで死んだのですか？ 回答は: ダマスカス
クラウス・フォン・シュタウフェンベルク はどこで死んだのですか？ 回答は: ベルリン
ドナト・ブラマンテ はどこで死んだのですか？ 回答は: ローマ
フランシスコ・フランコ はどこで死んだのですか？ 回答は: マドリード
クロード・ベルナール はどこで死んだのですか？ 回答は: パリ
ガマール・アブドゥル＝ナーセル はどこで死んだのですか？ 回答は: カイロ
ヤーコフ・スヴェルドロフ はどこで死んだのですか？ 回答は: モスクワ
シャルル・ルイ・アルフォンス・ラヴラン はどこで死んだのですか？ 回答は: パリ
ティコ・ブラーエ はどこで死んだのですか？ 回答は: プラハ
エドワード・ヒース はどこで死んだのですか？ 回答は: ソールズベリー
釈迦はどの宗教に所属していますか？ 答えは： 仏教
アウグスティヌスはどの宗教に所属していますか？ 答えは： キリスト教
アルバニア人はどの宗教に所属していますか？ 答えは： ムスリム
ベーダ・ヴェネラビリスはどの宗教に所属していますか？ 答えは： キリスト教
コンスタンティヌス1世はどの宗教に所属していますか？ 答えは： キリスト教
ヤコブはどの宗教に所属していますか？ 答えは： ユダヤ教
主教はどの宗教に所属していますか？ 答えは： キリスト教
ホノリウス3世はどの宗教に所属していますか？ 答えは： キリスト教
グレゴリウス9世はどの宗教に所属していますか？ 答えは： キリスト教
アフガニスタンはどの宗教に所属していますか？ 答えは： イスラム教
イエス・キリストはどの宗教に所属していますか？ 答えは： ユダヤ教
アラブ人はどの宗教に所属していますか？ 答えは： イスラム教
イブン・バットゥータはどの宗教に所属していますか？ 答えは： イスラム教
ムハンマド・イブン＝アブドゥッラーフはどの宗教に所属していますか？ 答えは： イスラム教
ムスリムはどの宗教に所属していますか？ 答えは： イスラム教
モーシェ・ベン＝マイモーンはどの宗教に所属していますか？ 答えは： ユダヤ教
マルコム・Xはどの宗教に所属していますか？ 答えは： イスラム教
ウズベクはどの宗教に所属していますか？ 答えは： イスラム教
シナゴーグはどの宗教に所属していますか？ 答えは： ユダヤ教
メフメト4世はどの宗教に所属していますか？ 答えは： イスラム教
アブラハムはどの宗教に所属していますか？ 答えは： ユダヤ教
イブン・ルシュドはどの宗教に所属していますか？ 答えは： イスラム教
イブン・ハルドゥーンはどの宗教に所属していますか？ 答えは： イスラム教
ダビデはどの宗教に所属していますか？ 答えは： ユダヤ教
スレイマン1世はどの宗教に所属していますか？ 答えは： イスラム教
アラブ人はどの宗教に所属していますか？ 答えは： キリスト教
ジャラール・ウッディーン・ルーミーはどの宗教に所属していますか？ 答えは： イスラム教
ガザーリーはどの宗教に所属していますか？ 答えは： イスラム教
ウマイヤ朝はどの宗教に所属していますか？ 答えは： イスラム教
イシュトヴァーン1世はどの宗教に所属していますか？ 答えは： キリスト教
カール大帝はどの宗教に所属していますか？ 答えは： キリスト教
セブンスデー・アドベンチスト教会はどの宗教に所属していますか？ 答えは： キリスト教
ウラジーミル1世はどの宗教に所属していますか？ 答えは： キリスト教
聖墳墓教会はどの宗教に所属していますか？ 答えは： キリスト教
ムアーウィヤはどの宗教に所属していますか？ 答えは： イスラム教
クロヴィス1世はどの宗教に所属していますか？ 答えは： キリスト教
唐はどの宗教に所属していますか？ 答えは： 仏教
ウマル・イブン・ハッターブはどの宗教に所属していますか？ 答えは： イスラム教
ムハンマド・イクバールはどの宗教に所属していますか？ 答えは： イスラム教
オマール・ボンゴ・オンディンバはどの宗教に所属していますか？ 答えは： イスラム教
ニコラウス5世はどの宗教に所属していますか？ 答えは： キリスト教
ルーホッラー・ホメイニーはどの宗教に所属していますか？ 答えは： イスラム教
ボニファティウス8世はどの宗教に所属していますか？ 答えは： キリスト教
アーイシャはどの宗教に所属していますか？ 答えは： イスラム教
龍樹はどの宗教に所属していますか？ 答えは： 仏教
フサイン・イブン・アリーはどの宗教に所属していますか？ 答えは： イスラム教
ブラフマンはどの宗教に所属していますか？ 答えは： ヒンドゥー教
サラーフッディーンはどの宗教に所属していますか？ 答えは： イスラム教
カトリック教会はどの宗教に所属していますか？ 答えは： カトリシズム
テーオドール・ヘルツルはどの宗教に所属していますか？ 答えは： ユダヤ教
クメール王朝はどの宗教に所属していますか？ 答えは： ヒンドゥー教
アブドゥルアズィーズ・イブン・サウードはどの宗教に所属していますか？ 答えは： イスラム教
ホスニー・ムバーラクはどの宗教に所属していますか？ 答えは： イスラム教
シルウェステル1世はどの宗教に所属していますか？ 答えは： キリスト教
マイケル・ブルームバーグはどの宗教に所属していますか？ 答えは： ユダヤ教
アリー・イブン・アビー・ターリブはどの宗教に所属していますか？ 答えは： イスラム教
ドク・ウマロフはどの宗教に所属していますか？ 答えは： イスラム教
ムハンマド・アリーはどの宗教に所属していますか？ 答えは： イスラム教
リチャード1世はどの宗教に所属していますか？ 答えは： キリスト教
ウスマーン・イブン・アッファーンはどの宗教に所属していますか？ 答えは： イスラム教
アリー・ハーメネイーはどの宗教に所属していますか？ 答えは： イスラム教
トム・クルーズはどの宗教に所属していますか？ 答えは： サイエントロジー
マハトマ・ガンディーはどの宗教に所属していますか？ 答えは： ヒンドゥー教
ハーミド・カルザイはどの宗教に所属していますか？ 答えは： イスラム教
アルベルト・シュバイツァーはどの宗教に所属していますか？ 答えは： キリスト教
スカルノはどの宗教に所属していますか？ 答えは： イスラム教
スハルトはどの宗教に所属していますか？ 答えは： イスラム教
アイス・キューブはどの宗教に所属していますか？ 答えは： イスラム教
カルロスはどの宗教に所属していますか？ 答えは： イスラム教
マアムーンはどの宗教に所属していますか？ 答えは： イスラム教
ファーティマはどの宗教に所属していますか？ 答えは： イスラム教
ムハンマド・アリー・ジンナーはどの宗教に所属していますか？ 答えは： イスラム教
ベトナム共和国はどの宗教に所属していますか？ 答えは： 仏教
アブデュルハミト2世はどの宗教に所属していますか？ 答えは： イスラム教
アレヴィー派はどの宗教に所属していますか？ 答えは： イスラム教
アウンサンスーチーはどの宗教に所属していますか？ 答えは： 仏教
ハールーン・アッ＝ラシードはどの宗教に所属していますか？ 答えは： イスラム教
イザヤはどの宗教に所属していますか？ 答えは： ユダヤ教
アブー＝バクルはどの宗教に所属していますか？ 答えは： イスラム教
グプタ朝はどの宗教に所属していますか？ 答えは： ヒンドゥー教
アクバルはどの宗教に所属していますか？ 答えは： イスラム教
イマームはどの宗教に所属していますか？ 答えは： イスラム教
ルイ14世はどの宗教に所属していますか？ 答えは： カトリシズム
ペンテコステはどの宗教に所属していますか？ 答えは： キリスト教
主の祈りはどの宗教に所属していますか？ 答えは： キリスト教
スカンデルベグはどの宗教に所属していますか？ 答えは： キリスト教
江戸幕府はどの宗教に所属していますか？ 答えは： 仏教
アンリ3世はどの宗教に所属していますか？ 答えは： カトリシズム
ムハンマド・オマルはどの宗教に所属していますか？ 答えは： イスラム教
シャルル5世はどの宗教に所属していますか？ 答えは： キリスト教
マウリヤ朝はどの宗教に所属していますか？ 答えは： ヒンドゥー教
ラーマクリシュナはどの宗教に所属していますか？ 答えは： ヒンドゥー教
玄奘三蔵はどの宗教に所属していますか？ 答えは： 仏教
オスマン1世はどの宗教に所属していますか？ 答えは： イスラム教
マタイはどの宗教に所属していますか？ 答えは： キリスト教
メフメト2世はどの宗教に所属していますか？ 答えは： イスラム教
ハンナ・アーレントはどの宗教に所属していますか？ 答えは： ユダヤ教
ジョン・トラボルタはどの宗教に所属していますか？ 答えは： サイエントロジー
ロムルス・アウグストゥルスはどの宗教に所属していますか？ 答えは： キリスト教
ジョゼフ・プリーストリーはどの宗教に所属していますか？ 答えは： キリスト教
スカンデルベグはどの宗教に所属していますか？ 答えは： イスラム教
ハーフェズはどの宗教に所属していますか？ 答えは： イスラム教
ジャン＝ジャック・ルソーはどの宗教に所属していますか？ 答えは： キリスト教
アルフレッド大王はどの宗教に所属していますか？ 答えは： キリスト教
鄭和はどの宗教に所属していますか？ 答えは： イスラム教
イド・アル＝フィトルはどの宗教に所属していますか？ 答えは： イスラム教
ジャワハルラール・ネルーはどの宗教に所属していますか？ 答えは： ヒンドゥー教
シャー・ジャハーンはどの宗教に所属していますか？ 答えは： イスラム教
ムラービト朝はどの宗教に所属していますか？ 答えは： イスラム教
モンゴル人民共和国はどの宗教に所属していますか？ 答えは： 仏教
スヴェン1世はどの宗教に所属していますか？ 答えは： キリスト教
サルヴパッリー・ラーダークリシュナンはどの宗教に所属していますか？ 答えは： ヒンドゥー教
タージ・マハルはどの宗教に所属していますか？ 答えは： イスラム教
ムハンマド・ムルシーはどの宗教に所属していますか？ 答えは： イスラム教
アフメト1世はどの宗教に所属していますか？ 答えは： イスラム教
フランツ・カフカはどの宗教に所属していますか？ 答えは： ユダヤ教
ハリーファ・ビン・ザーイド・アール・ナヒヤーンはどの宗教に所属していますか？ 答えは： イスラム教
エドワード1世はどの宗教に所属していますか？ 答えは： キリスト教
マリリン・モンローはどの宗教に所属していますか？ 答えは： ユダヤ教
バーブルはどの宗教に所属していますか？ 答えは： イスラム教
セリム1世はどの宗教に所属していますか？ 答えは： イスラム教
ファハド・ビン＝アブドゥルアズィーズはどの宗教に所属していますか？ 答えは： イスラム教
パルヴェーズ・ムシャラフはどの宗教に所属していますか？ 答えは： イスラム教
アンワル・アッ＝サーダートはどの宗教に所属していますか？ 答えは： イスラム教
レオ9世はどの宗教に所属していますか？ 答えは： キリスト教
